artist,song_title,lyrics,mood,temiz_lyrics
Gripin,Durma Yağmur Durma,"6 ContributorsDurma Yağmur Durma Lyrics
Zaten ıslağım Boğaz'ın ortasında
Yaşlarım gizleniyor damlalarında
Durma, yağmur durma
Cilalanıyor ruhum İstanbul sağanağında
Damlalar karışmış elmacıklarıma
Durma, yağmur durma
Okunmuyor adı artık yıldızlarda
Ayrılık yazıyor arkası yarınlarda
Sorma bana, sen de onu sorma

Sorma, sorma, doldur Boğaziçi'ni
Sen doldur, ben içerim efkarımla kana kana
Durma, durma, doldur Boğaziçi'ni
Sen doldur, ben içerim, yalanlara kana kana
Durma, canım cayır cayır yanıyor
Söndür yalvarırım, durma, n'olur durma

Durma, yağmur durma
Sorma, sen de onu sorma

Zaten ıslağım Boğaz'ın ortasında
Yaşlarım gizleniyor damlalarında
Durma, yağmur durma

Cilalanıyor ruhum İstanbul sağanağında
Damlalar karışmış elmacıklarıma
Durma, yağmur durma
Okunmuyor adı artık yıldızlarda
Ayrılık yazıyor arkası yarınlarda
Sorma bana, sen de onu sorma

Sorma, sorma, doldur Boğaziçi'ni
Sen doldur, ben içerim efkarımla kana kana
Durma, durma, doldur Boğaziçi'ni
Sen doldur, ben içerim, yalanlara kana kana
Durma, canım cayır cayır yanıyor
Söndür yalvarırım, durma, n'olur durma

Durma, yağmur durma
Sorma, sen de onu sorma

Sorma, sorma, doldur Boğaziçi'ni
Sen doldur, ben içerim efkarımla kana kana
Durma, durma, doldur Boğaziçi'ni
Sen doldur, ben içerim, yalanlara kana kana
Durma, canım cayır cayır yanıyor
Söndür yalvarırım, durma, n'olur durma

Durma, yağmur durma
Sorma, sen de onu sorma",üzgün,durma yağmur durma zaten ıslağım boğazın ortasında yaşlarım gizleniyor damlalarında durma yağmur durma cilalanıyor ruhum i̇stanbul sağanağında damlalar karışmış elmacıklarıma durma yağmur durma okunmuyor adı artık yıldızlarda ayrılık yazıyor arkası yarınlarda sorma bana sen onu sorma sorma sorma doldur boğaziçini sen doldur ben içerim efkarımla kana kana durma durma doldur boğaziçini sen doldur ben içerim yalanlara kana kana durma canım cayır cayır yanıyor söndür yalvarırım durma nolur durma durma yağmur durma sorma sen onu sorma zaten ıslağım boğazın ortasında yaşlarım gizleniyor damlalarında durma yağmur durma cilalanıyor ruhum i̇stanbul sağanağında damlalar karışmış elmacıklarıma durma yağmur durma okunmuyor adı artık yıldızlarda ayrılık yazıyor arkası yarınlarda sorma bana sen onu sorma sorma sorma doldur boğaziçini sen doldur ben içerim efkarımla kana kana durma durma doldur boğaziçini sen doldur ben içerim yalanlara kana kana durma canım cayır cayır yanıyor söndür yalvarırım durma nolur durma durma yağmur durma sorma sen onu sorma sorma sorma doldur boğaziçini sen doldur ben içerim efkarımla kana kana durma durma doldur boğaziçini sen doldur ben içerim yalanlara kana kana durma canım cayır cayır yanıyor söndür yalvarırım durma nolur durma durma yağmur durma sorma sen onu sorma
Teoman,Aşk Kırıntıları,"8 ContributorsAşk Kırıntıları Lyrics
Yaklaştırsana yavaş yavaş kendini bana
Al içine tekrar, derinine sakla, kat kasırgana
Yalan söyleme, bak gözlerime, bitmiş olamaz
Yokla ceplerini, aşk kırıntıları kalmış olmalı biraz

Aşk kırıntısıyla doymaktansa
Tek başıma aç kalırım bu hayatta
Paylaşacak bir şey artık yoksa
Bir erkekle bir kadın arasında

Yürürüm ipte, ağım yokken hem de
Kopkoyu içim, inan çok çalıştım
Bu kalpsiz dünyayı sevebilmek için
Neyim var ki sanki senden başka?
Hadi son bir kez
Ceplerini yokla, aşk kırıntıları kalmış olmalı biraz

Aşk kırıntısıyla doymaktansa
Tek başıma aç kalırım bu hayatta
Paylaşacak bir şey artık yoksa
Bir erkekle bir kadın arasında

Aşk kırıntısıyla doymaktansa
Tek başıma aç kalırım bu hayatta
Paylaşacak bir şey artık yoksa
Bir erkekle bir kadın arasında",üzgün,aşk kırıntıları yaklaştırsana yavaş yavaş kendini bana al içine tekrar derinine sakla kat kasırgana yalan söyleme bak gözlerime bitmiş olamaz yokla ceplerini aşk kırıntıları kalmış olmalı biraz aşk kırıntısıyla doymaktansa tek başıma aç kalırım hayatta paylaşacak bir artık yoksa bir erkekle bir kadın arasında yürürüm ipte ağım yokken kopkoyu içim inan çalıştım kalpsiz dünyayı sevebilmek neyim var senden başka hadi son bir ceplerini yokla aşk kırıntıları kalmış olmalı biraz aşk kırıntısıyla doymaktansa tek başıma aç kalırım hayatta paylaşacak bir artık yoksa bir erkekle bir kadın arasında aşk kırıntısıyla doymaktansa tek başıma aç kalırım hayatta paylaşacak bir artık yoksa bir erkekle bir kadın arasında
Kalben,Saçlar,"3 ContributorsSaçlar Lyrics

Her yerde saç var, yerlerde saçlar
Kimin bu saçlar bilemiyorum
Uyandığımda yabancılarla, ah
E kendi evimden de gidemiyorum

Sandım sen varsın, yok, öyle değil
""Özür dilerim"" diyemiyorum

Ben olsam almam beni, adamdan saymam beni
Uzun uzun soymam beni, deli miyim?
Ben olsam bakmam bana, bi' çorba bile yapmam bana
Tüm bunları sen öğrettin bana, sevgilim

Her yerde saç var, yerlerde saçlar
Kimin bu saçlar bilemiyorum
Uyandığımda yabancılarla
E kendi evimden de gidemiyorum

Sandım sen varsın, yok, öyle değil
""Özür dilerim"" diyemiyorum

Ben olsam almam beni, adamdan saymam beni
Uzun uzun soymam beni, deli miyim?
Ben olsam bakmam bana, bi' çorba bile yapmam bana
Tüm bunları sen öğrettin bana, sevgilim
Ben olsam almam beni, adamdan saymam beni
Uzun uzun soymam beni, deli miyim?
Ben olsam bakmam bana, bi' çorba bile yapmam bana
Tüm bunları sen öğrettin bana, sevgilim, a-aha-ah, a-aha-ah, aha",üzgün,saçlar yerde saç var yerlerde saçlar kimin saçlar bilemiyorum uyandığımda yabancılarla ah e kendi evimden gidemiyorum sandım sen varsın yok öyle değil özür dilerim diyemiyorum ben olsam almam beni adamdan saymam beni uzun uzun soymam beni deli miyim ben olsam bakmam bana bi çorba bile yapmam bana bunları sen öğrettin bana sevgilim yerde saç var yerlerde saçlar kimin saçlar bilemiyorum uyandığımda yabancılarla e kendi evimden gidemiyorum sandım sen varsın yok öyle değil özür dilerim diyemiyorum ben olsam almam beni adamdan saymam beni uzun uzun soymam beni deli miyim ben olsam bakmam bana bi çorba bile yapmam bana bunları sen öğrettin bana sevgilim ben olsam almam beni adamdan saymam beni uzun uzun soymam beni deli miyim ben olsam bakmam bana bi çorba bile yapmam bana bunları sen öğrettin bana sevgilim aahaah aahaah aha
Manuş Baba,İstanbul,"4 Contributorsİstanbul LyricsAnamız ağlıyor İstanbul
Ha gayret sarhoşuz bu gece, yine
Kıyısız kalmışız dostlarla
Masada bol rakı, bol roka
Ver elini İstanbul
Vapurlara binelim, tütsün bacamız, cigaramız
Hani biraz da çakırsak eğer
Elleşmesin bize kimse
Ay geceden ötede, uzakta
Bir küçük pervaz önünde, vapurlar
Sardunyam bana küsmüş, ağlar
Dayanmaz artık adam, ağlar
Dayanmaz İstanbul, ağlar",üzgün,i̇stanbul anamız ağlıyor i̇stanbul ha gayret sarhoşuz gece yine kıyısız kalmışız dostlarla masada bol rakı bol roka ver elini i̇stanbul vapurlara binelim tütsün bacamız cigaramız hani biraz çakırsak elleşmesin bize kimse ay geceden ötede uzakta bir küçük pervaz önünde vapurlar sardunyam bana küsmüş ağlar dayanmaz artık adam ağlar dayanmaz i̇stanbul ağlar
Gökhan Kırdar,Yerine Sevemem,"5 ContributorsYerine Sevemem Lyrics

Senden uzakta hep bir şeyler eksik
Gönlümde derman yok, inan, bir nefeslik
Ne bir avuntu ne de biraz ümit
Ne yaptın bana, nedir bu sessizlik?
İçimde bir şey acıyor sen gelince aklıma, her şeyim
Senden uzakta hep bir şeyler eksik
Gönlümde derman yok, inan, bir nefeslik
Ne bir avuntu ne de biraz ümit
Ne yaptın bana, nedir bu sessizlik?
İçimde bir şey acıyor sen gelince aklıma, her şeyim

Yerine sevemem, yerine sevemem
Razıyım, yapayalnız tükensin yıllarım ama
Yerine sevemem, yerine sevemem
Olmuyor, denedim yine de yerine sevemedim, her şeyim

Senden uzakta hep bir şeyler eksik
Gönlümde derman yok, inan, bir nefeslik
Ne bir avuntu ne de biraz ümit
Ne yaptın bana, nedir bu sessizlik?
İçimde bir şey acıyor sen gelince aklıma, her şeyim
Senden uzakta hep bir şeyler eksik
Gönlümde derman yok, inan, bir nefeslik
Ne bir avuntu ne de biraz ümit
Ne yaptın bana, nedir bu sessizlik?
İçimde bir şey acıyor sen gelince aklıma, her şeyim

Yerine sevemem, yerine sevemem
Razıyım, yapayalnız tükensin yıllarım ama
Yerine sevemem, yerine sevemem
Olmuyor, denedim yine de yerine sevemedim, her şeyim",üzgün,yerine sevemem senden uzakta bir şeyler eksik gönlümde derman yok inan bir nefeslik bir avuntu biraz ümit yaptın bana nedir sessizlik i̇çimde bir acıyor sen gelince aklıma şeyim senden uzakta bir şeyler eksik gönlümde derman yok inan bir nefeslik bir avuntu biraz ümit yaptın bana nedir sessizlik i̇çimde bir acıyor sen gelince aklıma şeyim yerine sevemem yerine sevemem razıyım yapayalnız tükensin yıllarım yerine sevemem yerine sevemem olmuyor denedim yine yerine sevemedim şeyim senden uzakta bir şeyler eksik gönlümde derman yok inan bir nefeslik bir avuntu biraz ümit yaptın bana nedir sessizlik i̇çimde bir acıyor sen gelince aklıma şeyim senden uzakta bir şeyler eksik gönlümde derman yok inan bir nefeslik bir avuntu biraz ümit yaptın bana nedir sessizlik i̇çimde bir acıyor sen gelince aklıma şeyim yerine sevemem yerine sevemem razıyım yapayalnız tükensin yıllarım yerine sevemem yerine sevemem olmuyor denedim yine yerine sevemedim şeyim
Zerrin Özer,Seni Seviyorum,"1 ContributorSeni Seviyorum Lyrics
Bu bir şarkı değil
Bir şiir hiç değil
Bu bir şarkı değil
Bir şiir hiç değil
Bu bir duygudur böyle
Yüreğimin sesine kulak ver ve dinle

Seni seviyorum
Seni seviyorum
Seni seviyorum
Seni seviyorum
Seni seviyorum
Seni seviyorum
Seni seviyorum
Seni seviyorum

Bu bir şarkı değil
Bir şiir hiç değil
Bu bir şarkı değil
Bir şiir hiç değil
Bu bir duygudur böyle
Yüreğimin sesine kulak ver ve dinle

Seni seviyorum
Seni seviyorum
Sеni seviyorum
Seni seviyorum
Sеni seviyorum
Seni seviyorum
Seni seviyorum
Seni seviyorum

Bu bir şarkı değil
Bir şiir hiç değil
Bu bir şarkı değil
Bir şiir hiç değil
Bu bir duygudur böyle
Yüreğimin sesine kulak ver ve dinle",üzgün,eni seviyorum bir şarkı değil bir şiir değil bir şarkı değil bir şiir değil bir duygudur böyle yüreğimin sesine kulak ver dinle seni seviyorum seni seviyorum seni seviyorum seni seviyorum seni seviyorum seni seviyorum seni seviyorum seni seviyorum bir şarkı değil bir şiir değil bir şarkı değil bir şiir değil bir duygudur böyle yüreğimin sesine kulak ver dinle seni seviyorum seni seviyorum sеni seviyorum seni seviyorum sеni seviyorum seni seviyorum seni seviyorum seni seviyorum bir şarkı değil bir şiir değil bir şarkı değil bir şiir değil bir duygudur böyle yüreğimin sesine kulak ver dinle
Nükhet Duru,Ben Sana Vurgunum,"6 ContributorsBen Sana Vurgunum Lyrics

Seneler sürer her günüm
Yalnız gitmekten yorgunum
Zannetme sana dargınım

Ben gene sana vurgunum
Ben gene sana vurgunum
Ben gene sana vurgunum, hey

Başkalarına gülsem de
Senden uzak kalsam da
Sevmediğini bilsem de

Ben gene sana vurgunum
Ben gene sana vurgunum
Ben gene sana vurgunum, hey

İtilmiş tekmelenmişim
Doğduğum günde yanmışım
Yalnız sana güvenmişim

Ben gene sana vurgunum
Ben gene sana vurgunum
Ben gene sana vurgunum, hey

Seneler sürer her günüm
Yalnız gitmekten yorgunum
Zannetme sana dargınım

Ben gene sana vurgunum
Ben gene sana vurgunum
Ben gene sana vurgunum, hey",üzgün,ben sana vurgunum seneler sürer günüm yalnız gitmekten yorgunum zannetme sana dargınım ben gene sana vurgunum ben gene sana vurgunum ben gene sana vurgunum hey başkalarına gülsem senden uzak kalsam sevmediğini bilsem ben gene sana vurgunum ben gene sana vurgunum ben gene sana vurgunum hey i̇tilmiş tekmelenmişim doğduğum günde yanmışım yalnız sana güvenmişim ben gene sana vurgunum ben gene sana vurgunum ben gene sana vurgunum hey seneler sürer günüm yalnız gitmekten yorgunum zannetme sana dargınım ben gene sana vurgunum ben gene sana vurgunum ben gene sana vurgunum hey
Özdemir Erdoğan,Bana Ellerini Ver,"7 ContributorsBana Ellerini Ver Lyrics

Ben bal arısı gibiydim senden önce
Bak, pervanelere döndüm seni görünce

Yana yana kül olsam her an, yine de senden ayrılamam
Yoluna adadım ömrümü ben, sensiz olamam
Yana yana kül olsam her an, yine de senden ayrılamam
Bin yıl yaşasam yine sana doyamam

Sana gönlümü verdim, ey, nazlı güzel
Seni almazsam gözlerim açık gider

Bana ellerini ver, hayat seni sevince güzel
Yoluna adadım ömrümü ben, gel, kaçma, güzel
Bana ellerini ver, hayat seni sevince güzel
Sana gönlümü verdim, nazlı güzel


Sana gönlümü verdim, ey, nazlı güzel
Seni almazsam gözlerim açık gider

Bana ellerini ver, hayat seni sevince güzel
Yoluna adadım ömrümü ben, gel, kaçma, güzel
Sana gönlümü verdim, nazlı güzel
Bana ellerini ver, hayat seni sevince güzel
Yoluna adadım ömrümü ben, gel, kaçma, güzel
Sana gönlümü verdim, nazlı güzel
Bana ellerini ver, hayat seni sevince güzel
Yoluna adadım ömrümü ben, gel, kaçma, güzel
Sana gönlümü verdim, nazlı güzel",üzgün,bana ellerini ver ben bal arısı gibiydim senden önce bak pervanelere döndüm seni görünce yana yana kül olsam an yine senden ayrılamam yoluna adadım ömrümü ben sensiz olamam yana yana kül olsam an yine senden ayrılamam bin yıl yaşasam yine sana doyamam sana gönlümü verdim ey nazlı güzel seni almazsam gözlerim açık gider bana ellerini ver hayat seni sevince güzel yoluna adadım ömrümü ben gel kaçma güzel bana ellerini ver hayat seni sevince güzel sana gönlümü verdim nazlı güzel sana gönlümü verdim ey nazlı güzel seni almazsam gözlerim açık gider bana ellerini ver hayat seni sevince güzel yoluna adadım ömrümü ben gel kaçma güzel sana gönlümü verdim nazlı güzel bana ellerini ver hayat seni sevince güzel yoluna adadım ömrümü ben gel kaçma güzel sana gönlümü verdim nazlı güzel bana ellerini ver hayat seni sevince güzel yoluna adadım ömrümü ben gel kaçma güzel sana gönlümü verdim nazlı güzel
Nilüfer,İntizar,"2 Contributorsİntizar Lyrics

Sakın bir söz söyleme, yüzüme bakma sakın
Sesini duyan olur, sana göz koyan olur
Düşmanımdır seni kim bulursa cana yakın
Annen bile okşasa benim bağrım taş olur
Düşmanımdır seni kim bulursa cana yakın
Annen bile okşasa benim bağrım taş olur

Dilerim Tanrı'dan ki sana açık kucaklar
Bir daha kapanmadan kara toprakla dolsun
Anmasınlar adını bensiz anan dudaklar
Sana benim gözümle bakan gözler kör olsun
Anmasınlar adını bensiz anan dudaklar
Sana benim gözümle bakan gözler kör olsun

Bakan gözler kör olsun, bakan gözler kör olsun",üzgün,i̇ntizar sakın bir söz söyleme yüzüme bakma sakın sesini duyan olur sana göz koyan olur düşmanımdır seni bulursa cana yakın annen bile okşasa benim bağrım taş olur düşmanımdır seni bulursa cana yakın annen bile okşasa benim bağrım taş olur dilerim tanrıdan sana açık kucaklar bir kapanmadan kara toprakla dolsun anmasınlar adını bensiz anan dudaklar sana benim gözümle bakan gözler kör olsun anmasınlar adını bensiz anan dudaklar sana benim gözümle bakan gözler kör olsun bakan gözler kör olsun bakan gözler kör olsun
Sibel Alaş,Adam,"3 ContributorsAdam LyricsSibel Alaş – Adam
Sevipte söyleyemediğim şarkılar var
Bir dizesini asla hatırlayamadığım şiirler
Keşke, keşke o ben olsaydım dediğim hikaye kadınları
Düşlerim var…
Uyandığımda yalnızca başını hatırladığım
Ve asla sonuna kadar görmeyi beceremediğim
Bir adam var düşümde, tam dokunacakken uyandırıldığım
Bir adam, sonumuzun ne olacağını hiç öğrenemediğim
Düşümde bir adam var, benim mi bilemediğim
Bir adam var diyorum, düşünüp düşümden ayrı kaldığım…
Durup da söyleyemediğin adımsa
Gizli kapaklı
Sevda türküleri tuttursam da ben
Telli duvaklı, yanıma
Korlar mı adam seni?
Koparıp acıtmazlar mı beni?
Nafile yanar elim dudağım
Seni bana yar ederler mi?
Yanıma korlar mı adam seni?
Koparıp acıtmazlar mı beni?
Nafile yanar elim dudağım
Seni bana yar ederler mi?
Durup da söyleyemediğin adımsa
Gizli kapaklı
Sevda türküleri tuttursam da ben
Telli duvaklı, yanıma
Korlar mı adam seni?
Koparıp acıtmazlar mı beni?
Nafile yanar elim dudağım
Seni bana yar ederler mi?
Yanıma korlar mı adam seni?
Koparıp acıtmazlar mı beni?
Nafile yanar elim dudağım
Seni bana yar ederler mi?
Yağmur bulutu unutursa
Dalında çiçeği kurutursa
Yar benden utanırsa
Düşündüm düşümden ayrı kaldım",üzgün,adam sibel alaş – adam sevipte söyleyemediğim şarkılar var bir dizesini asla hatırlayamadığım şiirler keşke keşke ben olsaydım dediğim hikaye kadınları düşlerim var… uyandığımda yalnızca başını hatırladığım asla sonuna kadar görmeyi beceremediğim bir adam var düşümde tam dokunacakken uyandırıldığım bir adam sonumuzun olacağını öğrenemediğim düşümde bir adam var benim mi bilemediğim bir adam var diyorum düşünüp düşümden ayrı kaldığım… durup söyleyemediğin adımsa gizli kapaklı sevda türküleri tuttursam ben telli duvaklı yanıma korlar adam seni koparıp acıtmazlar beni nafile yanar elim dudağım seni bana yar ederler mi yanıma korlar adam seni koparıp acıtmazlar beni nafile yanar elim dudağım seni bana yar ederler mi durup söyleyemediğin adımsa gizli kapaklı sevda türküleri tuttursam ben telli duvaklı yanıma korlar adam seni koparıp acıtmazlar beni nafile yanar elim dudağım seni bana yar ederler mi yanıma korlar adam seni koparıp acıtmazlar beni nafile yanar elim dudağım seni bana yar ederler mi yağmur bulutu unutursa dalında çiçeği kurutursa yar benden utanırsa düşündüm düşümden ayrı kaldım
Edip Akbayram,Aldırma Gönül,"5 ContributorsAldırma Gönül Lyrics
Başın öne eğilmesin
Aldırma, gönül aldırma
Başın öne eğilmesin
Aldırma, gönül aldırma
Ağladığın duyulmasın
Aldırma, gönül aldırma
Aldırma, gönül aldırma
Gönül aldırma
Ağladığın duyulmasın
Aldırma, gönül aldırma
Aldırma, gönül aldırma
Gönül aldırma

Dışarıda deli dalgalar
Gelip duvarları yalar
Dışarıda deli dalgalar
Gelip duvarları yalar
Seni bu sesler oyalar
Aldırma, gönül aldırma
Aldırma, gönül aldırma
Gönül aldırma

Seni bu sesler oyalar
Aldırma, gönül aldırma
Aldırma, gönül aldırma
Gönül aldırma

Kurşun ata ata biter
Yollar gide gide biter
Kurşun ata ata biter
Yollar gide gide biter
Mapus yata yata biter
Aldırma, gönül aldırma
Aldırma, gönül aldırma
Gönül aldırma
Mapus yata yata biter
Aldırma, gönül aldırma
Aldırma, gönül aldırma
Gönül aldırma

Dertlerin kalkınca şaha
Bir sitem yolla Allah'a
Dertlerin kalkınca şaha
Bir sitem yolla Allah'a

Görecek günler var daha
Aldırma, gönül aldırma
Aldırma, gönül aldırma
Gönül aldırma
Görecek günler var daha
Aldırma, gönül aldırma
Aldırma, gönül aldırma
Gönül aldırma",üzgün,aldırma gönül başın öne eğilmesin aldırma gönül aldırma başın öne eğilmesin aldırma gönül aldırma ağladığın duyulmasın aldırma gönül aldırma aldırma gönül aldırma gönül aldırma ağladığın duyulmasın aldırma gönül aldırma aldırma gönül aldırma gönül aldırma dışarıda deli dalgalar gelip duvarları yalar dışarıda deli dalgalar gelip duvarları yalar seni sesler oyalar aldırma gönül aldırma aldırma gönül aldırma gönül aldırma seni sesler oyalar aldırma gönül aldırma aldırma gönül aldırma gönül aldırma kurşun ata ata biter yollar gide gide biter kurşun ata ata biter yollar gide gide biter mapus yata yata biter aldırma gönül aldırma aldırma gönül aldırma gönül aldırma mapus yata yata biter aldırma gönül aldırma aldırma gönül aldırma gönül aldırma dertlerin kalkınca şaha bir sitem yolla allaha dertlerin kalkınca şaha bir sitem yolla allaha görecek günler var aldırma gönül aldırma aldırma gönül aldırma gönül aldırma görecek günler var aldırma gönül aldırma aldırma gönül aldırma gönül aldırma
Tan Taşçı,Rica Ederim,"1 ContributorRica Ederim LyricsInanmiyorum nasil ayrildik
Kime aldandik, kara sevdaydik
Biz seninle daglara ferman
Dillere destan
Ellere hüsran
Içime sigmiyor derdim kederim
Özledim yemin ederim
Bilsen nasil çarpiyor
Yüregim de ellerim
Sevgilim bitti bu ask
Hosçakal diyorsun olsun
Dag gibi çeker giderim
Üzüntü yaratma
Ömrümü verdim yollarina serdim diye
Hiç önemi yok rica ederim
Bekliyorum sabah olur mu
Kapi çalar mi
Beni arar mi
Biz onunla daglara ferman
Dillere destan
Ellere hüsran",üzgün,contributorrica ederim inanmiyorum nasil ayrildik kime aldandik kara sevdaydik seninle daglara ferman dillere destan ellere hüsran içime sigmiyor derdim kederim özledim yemin ederim bilsen nasil çarpiyor yüregim ellerim sevgilim bitti ask hosçakal diyorsun olsun dag çeker giderim üzüntü yaratma ömrümü verdim yollarina serdim önemi yok rica ederim bekliyorum sabah olur kapi çalar mi beni arar mi onunla daglara ferman dillere destan ellere hüsran
İrem Derici,Bensiz Yapamazsın,"1 ContributorBensiz Yapamazsın LyricsBensiz yapamazsın yalnız kalamazsın
Bence geri dön sen bu sonbahar
Vurdun beni yordun olsun ama kalbim
Durgun deli bu aralar
Masada boş kadehler elimde bir çerçeve
Olmayan resmine ağlıyorum
Kolaysa gel sen unut bana can verir umut
Seninle gelen günü bekliyorum
Madem gidecektin yorgun düşecektin
Keşke daha önce yok deseydin
Bir gün geri döner derken ömür biter
Zaten ölümdü geceler",üzgün,contributorbensiz yapamazsın bensiz yapamazsın yalnız kalamazsın bence geri dön sen sonbahar vurdun beni yordun olsun kalbim durgun deli aralar masada boş kadehler elimde bir çerçeve olmayan resmine ağlıyorum kolaysa gel sen unut bana can verir umut seninle gelen günü bekliyorum madem gidecektin yorgun düşecektin keşke önce yok deseydin bir gün geri döner derken ömür biter zaten ölümdü geceler
Barış Manço,Gülpembe,"12 ContributorsTranslationsEnglishGülpembe Lyrics
Sen gülünce güller açar Gülpembe
Bülbüller seni söyler
Biz dinlerdik Gülpembe
Sen gelince bahar gelir Gülpembe
Dereler seni çağlar
Sevinirdik Gülpembe

Güz yağmurlarıyla bir gün göçtün gittin
İnanamadık Gülpembe
Bizim iller sessiz, bizim iller sensiz
Olamadı Gülpembe

Dudağımda son bir türkü Gülpembe
Hâlâ hep seni söyler, seni çağırır Gülpembe

Güz yağmurlarıyla bir gün göçtün gittin
İnanamadık Gülpembe
Bizim iller sessiz, bizim iller sensiz
Olamadı Gülpembe

Dudağımda son bir türkü Gülpembe
Hâlâ hep seni söyler, seni çağırır Gülpembe
Gözlerimde son bir bulut Gülpembe
Hâlâ hep seni arar, seni bekler Gülpembe
Dudağımda son bir türkü Gülpembe
Hâlâ hep seni söyler, seni çağırır Gülpembe
Gözlerimde son bir bulut Gülpembe
Hâlâ hep seni arar, seni bekler Gülpembe",üzgün,translationsenglishgülpembe sen gülünce güller açar gülpembe bülbüller seni söyler dinlerdik gülpembe sen gelince bahar gelir gülpembe dereler seni çağlar sevinirdik gülpembe güz yağmurlarıyla bir gün göçtün gittin i̇nanamadık gülpembe bizim iller sessiz bizim iller sensiz olamadı gülpembe dudağımda son bir türkü gülpembe hâlâ seni söyler seni çağırır gülpembe güz yağmurlarıyla bir gün göçtün gittin i̇nanamadık gülpembe bizim iller sessiz bizim iller sensiz olamadı gülpembe dudağımda son bir türkü gülpembe hâlâ seni söyler seni çağırır gülpembe gözlerimde son bir bulut gülpembe hâlâ seni arar seni bekler gülpembe dudağımda son bir türkü gülpembe hâlâ seni söyler seni çağırır gülpembe gözlerimde son bir bulut gülpembe hâlâ seni arar seni bekler gülpembe
Mustafa Ceceli,Hüsran,"5 ContributorsHüsran Lyrics

Yine soluyor içimde bütün çiçekler
Başka bir baharda gülümserler
Yorgun kalbim, yorgun hayallerim
Direniyorlar bana, hâlâ yenilmedim

Hep bir ümit yüreğimde, hep aynı cesaret
İçimden bir ses der ""Sabret, sabret""
Onca düşün arasında, yıllar ardından
Geriye bana kalan

Yine hüsran, her daim feryat figan kalbim
Zehir olur, başka hayallere kalmaz ki mecalim
Hüsran, feryat figan kalbim
Yenilmedim, o zalim görmüyor ki, ya Rabb'im
Hüsran, feryat figan kalbim
Zehir olur, başka hayallere kalmaz ki mecalim
Hüsran, feryat figan kalbim
Yenilmedim, o zalim görmüyor ki, ya Rabb'im


Hep bir ümit yüreğimde, hep aynı cesaret
İçimden bir ses der ""Sabret, sabret""
Onca düşün arasında, yıllar ardından
Geriye bana kalan

Yine hüsran, her daim feryat figan kalbim
Zehir olur, başka hayallere kalmaz ki mecalim
Hüsran, feryat figan kalbim
Yenilmedim, o zalim görmüyor ki, ya Rabb'im
Hüsran, feryat figan kalbim
Zehir olur, başka hayallere kalmaz ki mecalim
Hüsran, feryat figan kalbim
Yenilmedim, o zalim görmüyor ki, ya Rabb'im


Yine hüsran, her daim feryat figan kalbim
Zehir olur, başka hayallere kalmaz ki mecalim
Hüsran, feryat figan kalbim
Yenilmedim, o zalim görmüyor ki, ya Rabb'im",üzgün,hüsran yine soluyor içimde bütün çiçekler başka bir baharda gülümserler yorgun kalbim yorgun hayallerim direniyorlar bana hâlâ yenilmedim bir ümit yüreğimde aynı cesaret i̇çimden bir ses der sabret sabret onca düşün arasında yıllar ardından geriye bana kalan yine hüsran daim feryat figan kalbim zehir olur başka hayallere kalmaz mecalim hüsran feryat figan kalbim yenilmedim zalim görmüyor rabbim hüsran feryat figan kalbim zehir olur başka hayallere kalmaz mecalim hüsran feryat figan kalbim yenilmedim zalim görmüyor rabbim bir ümit yüreğimde aynı cesaret i̇çimden bir ses der sabret sabret onca düşün arasında yıllar ardından geriye bana kalan yine hüsran daim feryat figan kalbim zehir olur başka hayallere kalmaz mecalim hüsran feryat figan kalbim yenilmedim zalim görmüyor rabbim hüsran feryat figan kalbim zehir olur başka hayallere kalmaz mecalim hüsran feryat figan kalbim yenilmedim zalim görmüyor rabbim yine hüsran daim feryat figan kalbim zehir olur başka hayallere kalmaz mecalim hüsran feryat figan kalbim yenilmedim zalim görmüyor rabbim
