artist,song_title,lyrics,mood,temiz_lyrics
Yalın,Herşey Sensin,"5 ContributorsHerşey Sensin Lyrics

Koydum sevinçlerimi önüme
Baktım hepsi sensin
Yazdığım şiirlerin her hecesi
Üzüldüğüm tüm filmler

Yıpranmamış hayatlar
Büyük hüzünler bekler
Her işte bir hayır
Bu işte hepsi sensin
Yıpranmamış hayatlar
Büyük hüzünler bekler
Her işte bir hayır
Bu işte hepsi sensin

Şimdi senden vaz mı geçmeli?
Masal olup yola devam mı etmeli?
Ben kalpten sorumlu
Aşka sorunluydum
Anladım her şey sensin
Şimdi senden vaz mı geçmeli?
Masal olup yola devam mı etmeli?
Ben kalpten sorumlu
Aşka sorunluydum
Anladım her şey sensin
Anladım her şey sensin

Koydum sevinçlerimi önüme
Baktım hepsi sensin
Yazdığım şiirlerin her hecesi
Üzüldüğüm tüm filmler

Yıpranmamış hayatlar
Büyük hüzünler bekler
Her işte bir hayır
Bu işte hepsi sensin

Şimdi senden vaz mı geçmeli?
Masal olup yola devam mı etmeli?
Ben kalpten sorumlu
Aşka sorunluydum
Anladım her şey sensin
Şimdi senden vaz mı geçmeli?
Masal olup yola devam mı etmeli?
Ben kalpten sorumlu
Aşka sorunluydum
Anladım her şey sensin
Anladım her şey—
Şimdi senden vaz mı geçmeli?
Masal olup yola devam mı etmeli?
Ben kalpten sorumlu
Aşka sorunluydum
Anladım her şey sensin
Şimdi senden vaz mı geçmeli?
Masal olup yola devam mı etmeli?
Ben kalpten sorumlu
Aşka sorunluydum
Anladım her şey sensin
Anladım her şey sensin",mutlu,herşey sensin koydum sevinçlerimi önüme baktım sensin yazdığım şiirlerin hecesi üzüldüğüm filmler yıpranmamış hayatlar büyük hüzünler bekler işte bir hayır işte sensin yıpranmamış hayatlar büyük hüzünler bekler işte bir hayır işte sensin şimdi senden vaz geçmeli masal olup yola devam etmeli ben kalpten sorumlu aşka sorunluydum anladım sensin şimdi senden vaz geçmeli masal olup yola devam etmeli ben kalpten sorumlu aşka sorunluydum anladım sensin anladım sensin koydum sevinçlerimi önüme baktım sensin yazdığım şiirlerin hecesi üzüldüğüm filmler yıpranmamış hayatlar büyük hüzünler bekler işte bir hayır işte sensin şimdi senden vaz geçmeli masal olup yola devam etmeli ben kalpten sorumlu aşka sorunluydum anladım sensin şimdi senden vaz geçmeli masal olup yola devam etmeli ben kalpten sorumlu aşka sorunluydum anladım sensin anladım şey— şimdi senden vaz geçmeli masal olup yola devam etmeli ben kalpten sorumlu aşka sorunluydum anladım sensin şimdi senden vaz geçmeli masal olup yola devam etmeli ben kalpten sorumlu aşka sorunluydum anladım sensin anladım sensin
Edis,Bana Ne,"11 ContributorsBanane Lyrics

-Alo
-Bi' şey söyle
-Bi' şey söylemek istemiyorum
-Peki, o zaman
Naber, efendim, ne bitmesi, ne gitmesi?
Naber, efendim, ne bitmesi?
Sakin

Bana ne dediğimi soracak olamazsın, hayır
Bir sebebim yok artık kalamam mı? (Hayır)
Ki gözlerimi açtın teşekkür ederim, hmm
Son lafını mı duydum bir kere de güleyim, haha

Bir kerede ben güleyim
Daha ne dediğimi sorma
Bana ne, yerine koyamam ki sonra
Bana ne, sen git onurun peşinde kime ne
Ben öyle bir kul olamam
Daha ne dediğimi sorma
Bana ne, yerine koyamam ki sonra
Bana ne, düşerim peşine kime ne

Alo (bana ne)
Alo (bana ne), (bana ne)
Alo, (bana ne), (sakin)
(Bana ne),(bana ne),(bana ne),(bana ne)

Bana ne dediğimi soracak olamazsın, hayır
Bir sebebim yok artık kalamam mı? (Hayır)
Ki gözlerimi açtın teşekkür ederim, hmm
Son lafını mı duydum bir kerede güleyim, haha

Bir kerede ben güleyim
Daha ne dediğimi sorma
Bana ne, yerine koyamam ki sonra
Bana ne, sen git onurun peşinde kime ne
Ben öyle bir kul olamam
Daha ne dediğimi sorma
Bana ne, yerine koyamam ki sonra
Bana ne, düşerim peşine kime ne

Alo, (bana ne)
Alo, (bana ne),(bana ne)
Alo, (bana ne), (sakin)
(Bana ne),(bana ne),(bana ne),(efendim),(bana ne), (sakin)",mutlu,banane alo bi söyle bi söylemek istemiyorum peki zaman naber efendim bitmesi gitmesi naber efendim bitmesi sakin bana dediğimi soracak olamazsın hayır bir sebebim yok artık kalamam hayır gözlerimi açtın teşekkür ederim hmm son lafını duydum bir kere güleyim haha bir kerede ben güleyim dediğimi sorma bana yerine koyamam sonra bana sen git onurun peşinde kime ben öyle bir kul olamam dediğimi sorma bana yerine koyamam sonra bana düşerim peşine kime alo bana alo bana bana alo bana sakin bana nebana nebana nebana bana dediğimi soracak olamazsın hayır bir sebebim yok artık kalamam hayır gözlerimi açtın teşekkür ederim hmm son lafını duydum bir kerede güleyim haha bir kerede ben güleyim dediğimi sorma bana yerine koyamam sonra bana sen git onurun peşinde kime ben öyle bir kul olamam dediğimi sorma bana yerine koyamam sonra bana düşerim peşine kime alo bana alo bana nebana alo bana sakin bana nebana nebana neefendimbana sakin
Mustafa Sandal,Aya Benzer,"14 ContributorsAya Benzer Lyrics

Aya benzer

Ben dönerim etrafında
Hiç kimse fark etmez
Aşk bu affetmez
Işıkların sönerse
Hep dönerim etrafında
Hiç kimse fark etmez
Aşk bu göstermez
Rüyaların biterse

İyi dinle, duyarsın sesimi uzaklardan
Dinle, en kuytu acılardan
Kalbin de yorulduysa yolculuklardan
Vazgeç artık yıldızlardan

Aya benzer yüreğim
E doğal olarak takipteyim
Ah şu kaderi çözersem eğer
Bekle geliyorum aşkım
Aya benzer yüreğim
E doğal olarak takipteyim
Ah şu kaderi yenersem eğer
Seni seviyorum aşkım

Aya benzer
Aya benzer

Ben dönerim etrafında
Hiç kimse fark etmez
Aşk bu affetmez
Işıkların sönerse
Hep dönerim etrafında
Hiç kimse fark etmez
Aşk bu göstermez
Rüyaların biterse

İyi dinle, duyarsın sesimi uzaklardan
Dinle, en kuytu acılardan
Kalbin de yorulduysa yolculuklardan
Vazgeç artık yıldızlardan

Aya benzer yüreğim
E doğal olarak takipteyim
Ah şu kaderi çözersem eğer
Bekle geliyorum aşkım
Aya benzer yüreğim
E doğal olarak takipteyim
Ah şu kaderi yenersem eğer
Seni seviyorum aşkım

Aya benzer
Aya benzer

Aya benzer yüreğim
E doğal olarak takipteyim
Ah şu kaderi çözersem eğer
Bekle geliyorum aşkım
Aya benzer yüreğim
E doğal olarak takipteyim
Ah şu kaderi yenersem eğer
Seni seviyorum aşkım

Aya benzer",mutlu,aya benzer aya benzer ben dönerim etrafında kimse fark etmez aşk affetmez işıkların sönerse dönerim etrafında kimse fark etmez aşk göstermez rüyaların biterse i̇yi dinle duyarsın sesimi uzaklardan dinle kuytu acılardan kalbin yorulduysa yolculuklardan vazgeç artık yıldızlardan aya benzer yüreğim e doğal olarak takipteyim ah kaderi çözersem bekle geliyorum aşkım aya benzer yüreğim e doğal olarak takipteyim ah kaderi yenersem seni seviyorum aşkım aya benzer aya benzer ben dönerim etrafında kimse fark etmez aşk affetmez işıkların sönerse dönerim etrafında kimse fark etmez aşk göstermez rüyaların biterse i̇yi dinle duyarsın sesimi uzaklardan dinle kuytu acılardan kalbin yorulduysa yolculuklardan vazgeç artık yıldızlardan aya benzer yüreğim e doğal olarak takipteyim ah kaderi çözersem bekle geliyorum aşkım aya benzer yüreğim e doğal olarak takipteyim ah kaderi yenersem seni seviyorum aşkım aya benzer aya benzer aya benzer yüreğim e doğal olarak takipteyim ah kaderi çözersem bekle geliyorum aşkım aya benzer yüreğim e doğal olarak takipteyim ah kaderi yenersem seni seviyorum aşkım aya benzer
Mabel Matiz,Gök Nerede,"4 ContributorsGök Nerede Lyrics
Kalbim yolların sürgünü, aldırma
Kararıyorum gölgesiz gururlarda

Sana değil, bana değil
Kaderimize bu feryat
Çareyi bul, bana getir
Çare ise sabır, dua

Kar bürüyor yollarımı
Kim doluyor kollarıma?
Yağ da yetiş be yağmurum
Ağarmıyor sabahlarım
""Yandım aman, yar."" demeden
Hangi ödünç kâr canıma?
Yağ da devir şu dağlarımı
Görelim gök nerede

Hangi sahranın gülüyüm, aldırmam
Kâh arıyorum, kâhi kayboldum or'da

Sana değil, bana değil
Kaderimize bu feryat
Çareyi bul, bana getir
Çare ise sabır, dua

(x2)
Kar bürüyor yollarımı
Kim doluyor kollarıma?
Yağ da yetiş be yağmurum
Ağarmıyor sabahlarım
""Yandım aman, yar."" demeden
Hangi ödünç kâr canıma?
Yağ da devir şu dağlarımı
Görelim gök nerede
(x2)
Görelim gök nerede",mutlu,gök kalbim yolların sürgünü aldırma kararıyorum gölgesiz gururlarda sana değil bana değil kaderimize feryat çareyi bul bana getir çare sabır dua kar bürüyor yollarımı doluyor kollarıma yağ yetiş be yağmurum ağarmıyor sabahlarım yandım aman yar demeden hangi ödünç kâr canıma yağ devir dağlarımı görelim gök hangi sahranın gülüyüm aldırmam kâh arıyorum kâhi kayboldum orda sana değil bana değil kaderimize feryat çareyi bul bana getir çare sabır dua x kar bürüyor yollarımı doluyor kollarıma yağ yetiş be yağmurum ağarmıyor sabahlarım yandım aman yar demeden hangi ödünç kâr canıma yağ devir dağlarımı görelim gök x görelim gök
Buray,İstersen,"7 Contributorsİstersen Lyrics
İzini kaybettiğin duygulara bir gülüşle kavuşmakmış, aşk
Sana anlatılan her masala bile bile aldanmakmış, aşk
Ansızın umutsuzluk yelken açıp uzaklaşınca ufuktan, anlıyorsun bak
Sonbaharda yapraklar sararırken sende yeşile bürünür, aşk

İstersen yak, savur, dağıt, beni yarala
Al bütün varım yoğum senindir
Ben yazdım seni diğer yarıma
İstersen yık, acıt, kanat, beni parçala
Ölsem de kıyan senin elindir
Sen dokun, ziyan olmaz bana

İzini kaybettiğin duygulara bir gülüşle kavuşmakmış, aşk
Sana anlatılan her masala bile bile aldanmakmış, aşk
Ansızın umutsuzluk yelken açıp uzaklaşınca ufuktan, anlıyorsun bak
Sonbaharda yapraklar sararırken sende yeşile bürünür, aşk

Dalgalanır durulur sular gibi
Hasretin çarpar yüreğime
Saçlarını savurur rüzgar gibi
Ay gibi parlar geceme

İstersen yak, savur, dağıt, beni yarala
Al bütün varım yoğum senindir
Ben yazdım seni diğer yarıma
İstersen yık, acıt, kanat, beni parçala
Ölsem de kıyan senin elindir
Sen dokun, ziyan olmaz bana

Sen iste dağları
Sen iste yolları aşayım
Geç kalma, yaz beni diğer yarına

Sen iste dağları
Sen iste yolları aşayım
Sen dokun, ziyan olmaz bana",mutlu,i̇stersen i̇zini kaybettiğin duygulara bir gülüşle kavuşmakmış aşk sana anlatılan masala bile bile aldanmakmış aşk ansızın umutsuzluk yelken açıp uzaklaşınca ufuktan anlıyorsun bak sonbaharda yapraklar sararırken sende yeşile bürünür aşk i̇stersen yak savur dağıt beni yarala al bütün varım yoğum senindir ben yazdım seni diğer yarıma i̇stersen yık acıt kanat beni parçala ölsem kıyan senin elindir sen dokun ziyan olmaz bana i̇zini kaybettiğin duygulara bir gülüşle kavuşmakmış aşk sana anlatılan masala bile bile aldanmakmış aşk ansızın umutsuzluk yelken açıp uzaklaşınca ufuktan anlıyorsun bak sonbaharda yapraklar sararırken sende yeşile bürünür aşk dalgalanır durulur sular hasretin çarpar yüreğime saçlarını savurur rüzgar ay parlar geceme i̇stersen yak savur dağıt beni yarala al bütün varım yoğum senindir ben yazdım seni diğer yarıma i̇stersen yık acıt kanat beni parçala ölsem kıyan senin elindir sen dokun ziyan olmaz bana sen iste dağları sen iste yolları aşayım geç kalma yaz beni diğer yarına sen iste dağları sen iste yolları aşayım sen dokun ziyan olmaz bana
Sıla,Yoruldum,"1 ContributorYoruldum Lyrics
Bi' rüzgara kapıldım, gidiyorum
Sonu hayır mı, şer mi bilemiyorum
Bi' rüzgara kapıldım, gidiyorum
Sonum hayır mı, şer mi bilemiyorum
Hem çok seviyorum dostlar başına
Hem sıcak demir aşk olsun tutana!
Hem çok seviyorum düşman başına
Hem sıcak demir aşk olsun tutana!

Ben yoruldum
Söyle senin gücün var mı hâlâ?
Kaç yenilgi var, söyle
Ömürde Allah aşkına!

Akışına bıraktım, gidiyorum
Sonu hayır mı, şer mi bilemiyorum
Akışına bıraktım, gidiyorum
Sonu hayır mı, şer mi bilemiyorum
Hem eriyorum günden geceye
Hem kapı duvar verilmiş sözlere
Hem eriyorum günden geceye
Hem kapı duvar verilmiş sözlere

(x2)
Ben yoruldum
Söyle senin gücün var mı hâlâ?
Kaç yenilgi var, söyle
Ömürde Allah aşkına!",mutlu,contributoryoruldum bi rüzgara kapıldım gidiyorum sonu hayır şer mi bilemiyorum bi rüzgara kapıldım gidiyorum sonum hayır şer mi bilemiyorum seviyorum dostlar başına sıcak demir aşk olsun tutana seviyorum düşman başına sıcak demir aşk olsun tutana ben yoruldum söyle senin gücün var hâlâ kaç yenilgi var söyle ömürde allah aşkına akışına bıraktım gidiyorum sonu hayır şer mi bilemiyorum akışına bıraktım gidiyorum sonu hayır şer mi bilemiyorum eriyorum günden geceye kapı duvar verilmiş sözlere eriyorum günden geceye kapı duvar verilmiş sözlere x ben yoruldum söyle senin gücün var hâlâ kaç yenilgi var söyle ömürde allah aşkına
Ayna,Ölünce Sevemezsem Seni,"2 ContributorsÖlünce Sevemezsem Seni Lyrics
Toprağından dönsün yüzüm
Ölünce sevemezsem seni
Kan ağlasın iki gözüm
Ölünce sevemezsem seni
Hak rahmetin görmeyim
Gonca gülün dermeyim
Muradıma ermeyim
Ölünce sevemezsem seni

Yaşamak yıldızlarda
Seninle olmak istiyorum
Sevişmek hüner değil
Yanında kalmak istiyorum
Yaşamak hüner değil
Seninle ölmek istiyorum

Ben bu yerde ölsem de
Ay yüzlüm yine elde
Muhtaç olayım namerde
Ölünce sevemezsem seni

Yaşamak yıldızlarda
Seninle olmak istiyorum
Sevişmek hüner değil
Yanında kalmak istiyorum
Yaşamak hüner değil
Seninle ölmek istiyorum",mutlu,ölünce sevemezsem seni toprağından dönsün yüzüm ölünce sevemezsem seni kan ağlasın iki gözüm ölünce sevemezsem seni hak rahmetin görmeyim gonca gülün dermeyim muradıma ermeyim ölünce sevemezsem seni yaşamak yıldızlarda seninle olmak istiyorum sevişmek hüner değil yanında kalmak istiyorum yaşamak hüner değil seninle ölmek istiyorum ben yerde ölsem ay yüzlüm yine elde muhtaç olayım namerde ölünce sevemezsem seni yaşamak yıldızlarda seninle olmak istiyorum sevişmek hüner değil yanında kalmak istiyorum yaşamak hüner değil seninle ölmek istiyorum
Gökhan Türkmen,Dene,"2 ContributorsDene Lyrics

Belki de olamadın iyi bir sevgili
Ama hiç eksilmedi aşkının bendeki değeri, mm
Dinleme sen onu şunu bunu, dinle kendini
En iyi sen bilirsin senin bendeki yerini

Kurtaralım, biz bizi bize bizden fayda var
Zorlayalım en iyisi, savaş dövüş bunlar
Hep bize zarar
Kurtaralım, biz bizi bize bizden fayda var
Zorlayalım en iyisi, savaş dövüş bunlar
Hep bize zarar

Dene, yine alev alsın dudağım öperken
Seni, seni, seni, seni
Dene, mutlu görelim uzaktan bakınca
Bizi, bizi, bizi, bizi
Dene, yine alev alsın dudağım öperken
Seni, seni, seni, seni
Dene, mutlu görelim uzaktan bakınca
Bizi, bizi, bizi, bizi

Kurtaralım, biz bizi bize bizden fayda var
Zorlayalım en iyisi, savaş dövüş bunlar
Hep bize zarar
Kurtaralım, biz bizi bize bizden fayda var
Zorlayalım en iyisi, savaş dövüş bunlar
Hep bize zarar

(Dene, yine alev alsın dudağım öperken)
(Seni, seni, seni, seni)
(Dene, mutlu görelim uzaktan bakınca)
(Bizi, bizi, bizi, bizi)
(Dene, yine alev alsın dudağım öperken)
(Seni, seni, seni, seni)
(Dene, mutlu görelim uzaktan bakınca)
(Bizi, bizi)

Dene, yine alev alsın dudağım öperken
Seni, seni, seni, seni
Dene, mutlu görelim uzaktan bakınca
Bizi, bizi, bizi, bizi
Dene, yine alev alsın dudağım öperken
Seni, seni, seni, seni
Dene, mutlu görelim—",mutlu,dene olamadın iyi bir sevgili eksilmedi aşkının bendeki değeri mm dinleme sen onu şunu bunu dinle kendini iyi sen bilirsin senin bendeki yerini kurtaralım bizi bize bizden fayda var zorlayalım iyisi savaş dövüş bunlar bize zarar kurtaralım bizi bize bizden fayda var zorlayalım iyisi savaş dövüş bunlar bize zarar dene yine alev alsın dudağım öperken seni seni seni seni dene mutlu görelim uzaktan bakınca bizi bizi bizi bizi dene yine alev alsın dudağım öperken seni seni seni seni dene mutlu görelim uzaktan bakınca bizi bizi bizi bizi kurtaralım bizi bize bizden fayda var zorlayalım iyisi savaş dövüş bunlar bize zarar kurtaralım bizi bize bizden fayda var zorlayalım iyisi savaş dövüş bunlar bize zarar dene yine alev alsın dudağım öperken seni seni seni seni dene mutlu görelim uzaktan bakınca bizi bizi bizi bizi dene yine alev alsın dudağım öperken seni seni seni seni dene mutlu görelim uzaktan bakınca bizi bizi dene yine alev alsın dudağım öperken seni seni seni seni dene mutlu görelim uzaktan bakınca bizi bizi bizi bizi dene yine alev alsın dudağım öperken seni seni seni seni dene mutlu görelim—
Tuğba Yurt,Yine Sev,"2 ContributorsYine Sev Yine LyricsBir düş, bir öpüş
Ama sonu hep bir çöküş
Korktum ama tuttum
Yoksa uçurum mu düşüş
Senden geçmedim ben
İstemedin verdiklerimi
Sana çıkan umutların
Sonu daha gelmedi mi

Yine sev yine, yine öp beni
Belki çok zor geriye dönmesi
En iyisi bizdik, kabul etmeli
Yine yine, yine sev yine, yine öp beni
Belki çok zor geriye dönmesi
En iyisi bizdik kabul etmeli",mutlu,yine sev yine bir düş bir öpüş sonu bir çöküş korktum tuttum yoksa uçurum düşüş senden geçmedim ben i̇stemedin verdiklerimi sana çıkan umutların sonu gelmedi mi yine sev yine yine öp beni zor geriye dönmesi iyisi bizdik kabul etmeli yine yine yine sev yine yine öp beni zor geriye dönmesi iyisi bizdik kabul etmeli
Gülşen,Yatcaz Kalkcaz Ordayım,"5 ContributorsYatcaz Kalkcaz Ordayım Lyrics

Bi' açıldım, bi' kapandım, bi' üzüldüm, bi' de güldüm; hahayt (Hahayt)
Eserekli durumumdan mütevellit ruh hâlim berbat (Berbat)

Dile kolay ama zor, hasretini bana sor
Bu nasıl bi' geri sayım? Yerinde sayıyo' her gün
Bineyim arabaya, bi' varayım oraya
Üç yüz bin yıl gibi geliyor bana şu son üç gün

Yat'ca'z, kal'kca'z; yat'ca'z, kal'kca'z
Yat'ca'z, kal'kca'z; hop, or'dayım
Dağlar, bayırlar, o uzun yollar
Hepsi hikâye, firardayım
Yat'ca'z, kal'kca'z; yat'ca'z, kal'kca'z
Yat'ca'z, kal'kca'z; hop, or'dayım
Dağlar, bayırlar, o uzun yollar
Hepsi hikâye, firardayım

Başlarım ha adetinden, aşk bu güçlü her bi' şeyden; susmam (Susmam)
Üstesinden gelirim ben, ayrılığı döverim ben; korkmam (Korkmam)

Dile kolay ama zor, hasretini bana sor
Bu nasıl bi' geri sayım? Yerinde sayıyo' her gün
Bineyim arabaya, bi' varayım oraya
Üç yüz bin yıl gibi geliyor bana şu son üç gün

Yat'ca'z, kal'kca'z; yat'ca'z, kal'kca'z
Yat'ca'z, kal'kca'z; hop, or'dayım
Dağlar, bayırlar, o uzun yollar
Hepsi hikâye, firardayım
Yat'ca'z, kal'kca'z; yat'ca'z, kal'kca'z
Yat'ca'z, kal'kca'z; hop, or'dayım
Dağlar, bayırlar, o uzun yollar
Hepsi hikâye, firardayım

Dile kolay ama zor, hasretini bana sor
Bu nasıl bi' geri sayım? Yerinde sayıyo' her gün
Bineyim arabaya, bi' varayım oraya
Üç yüz bin yıl gibi geliyor bana şu son üç gün

Yat'ca'z, kal'kca'z; yat'ca'z, kal'kca'z
Yat'ca'z, kal'kca'z; hop, or'dayım
Dağlar, bayırlar, o uzun yollar
Hepsi hikâye, firardayım
Yat'ca'z, kal'kca'z; yat'ca'z, kal'kca'z
Yat'ca'z, kal'kca'z; hop, or'dayım
Dağlar, bayırlar, o uzun yollar
Hepsi hikâye, firardayım
Yat'ca'z, kal'kca'z; yat'ca'z, kal'kca'z
Yat'ca'z, kal'kca'z; hop, or'dayım
Dağlar, bayırlar, o uzun yollar
Hepsi hikâye, firardayım

Yat'ca'z, kal'kca'z; yat'ca'z, kal'kca'z
Yat'ca'z, kal'kca'z",mutlu,yatcaz kalkcaz ordayım bi açıldım bi kapandım bi üzüldüm bi güldüm hahayt hahayt eserekli durumumdan mütevellit ruh hâlim berbat berbat dile kolay zor hasretini bana sor bi geri sayım yerinde sayıyo gün bineyim arabaya bi varayım oraya üç yüz bin yıl geliyor bana son üç gün yatcaz kalkcaz yatcaz kalkcaz yatcaz kalkcaz hop ordayım dağlar bayırlar uzun yollar hikâye firardayım yatcaz kalkcaz yatcaz kalkcaz yatcaz kalkcaz hop ordayım dağlar bayırlar uzun yollar hikâye firardayım başlarım ha adetinden aşk güçlü bi şeyden susmam susmam üstesinden gelirim ben ayrılığı döverim ben korkmam korkmam dile kolay zor hasretini bana sor bi geri sayım yerinde sayıyo gün bineyim arabaya bi varayım oraya üç yüz bin yıl geliyor bana son üç gün yatcaz kalkcaz yatcaz kalkcaz yatcaz kalkcaz hop ordayım dağlar bayırlar uzun yollar hikâye firardayım yatcaz kalkcaz yatcaz kalkcaz yatcaz kalkcaz hop ordayım dağlar bayırlar uzun yollar hikâye firardayım dile kolay zor hasretini bana sor bi geri sayım yerinde sayıyo gün bineyim arabaya bi varayım oraya üç yüz bin yıl geliyor bana son üç gün yatcaz kalkcaz yatcaz kalkcaz yatcaz kalkcaz hop ordayım dağlar bayırlar uzun yollar hikâye firardayım yatcaz kalkcaz yatcaz kalkcaz yatcaz kalkcaz hop ordayım dağlar bayırlar uzun yollar hikâye firardayım yatcaz kalkcaz yatcaz kalkcaz yatcaz kalkcaz hop ordayım dağlar bayırlar uzun yollar hikâye firardayım yatcaz kalkcaz yatcaz kalkcaz yatcaz kalkcaz
İzel,Hasretim,"3 ContributorsHasretim LyricsHani bir nefesle çekersin ya
Beni de öyle çek hasretim aşk kokan yıldızlara
Hani bakar dalarsın ya guruba
Bana da öyle bak kulun olayım
Of aman denizleri aş da gel kurbanın olam
Kurtar beni buralardan ne olur
Ay aman denizleri aş da gel kurbanın olam
Kurtar beni buralardan ne olur",mutlu,hasretim hani bir nefesle çekersin beni öyle çek hasretim aşk kokan yıldızlara hani bakar dalarsın guruba bana öyle bak kulun olayım of aman denizleri aş gel kurbanın olam kurtar beni buralardan olur ay aman denizleri aş gel kurbanın olam kurtar beni buralardan olur
Gripin,Durma Yağmur Durma,"6 ContributorsDurma Yağmur Durma Lyrics
Zaten ıslağım Boğaz'ın ortasında
Yaşlarım gizleniyor damlalarında
Durma, yağmur durma
Cilalanıyor ruhum İstanbul sağanağında
Damlalar karışmış elmacıklarıma
Durma, yağmur durma
Okunmuyor adı artık yıldızlarda
Ayrılık yazıyor arkası yarınlarda
Sorma bana, sen de onu sorma

Sorma, sorma, doldur Boğaziçi'ni
Sen doldur, ben içerim efkarımla kana kana
Durma, durma, doldur Boğaziçi'ni
Sen doldur, ben içerim, yalanlara kana kana
Durma, canım cayır cayır yanıyor
Söndür yalvarırım, durma, n'olur durma

Durma, yağmur durma
Sorma, sen de onu sorma

Zaten ıslağım Boğaz'ın ortasında
Yaşlarım gizleniyor damlalarında
Durma, yağmur durma

Cilalanıyor ruhum İstanbul sağanağında
Damlalar karışmış elmacıklarıma
Durma, yağmur durma
Okunmuyor adı artık yıldızlarda
Ayrılık yazıyor arkası yarınlarda
Sorma bana, sen de onu sorma

Sorma, sorma, doldur Boğaziçi'ni
Sen doldur, ben içerim efkarımla kana kana
Durma, durma, doldur Boğaziçi'ni
Sen doldur, ben içerim, yalanlara kana kana
Durma, canım cayır cayır yanıyor
Söndür yalvarırım, durma, n'olur durma

Durma, yağmur durma
Sorma, sen de onu sorma

Sorma, sorma, doldur Boğaziçi'ni
Sen doldur, ben içerim efkarımla kana kana
Durma, durma, doldur Boğaziçi'ni
Sen doldur, ben içerim, yalanlara kana kana
Durma, canım cayır cayır yanıyor
Söndür yalvarırım, durma, n'olur durma

Durma, yağmur durma
Sorma, sen de onu sorma",mutlu,durma yağmur durma zaten ıslağım boğazın ortasında yaşlarım gizleniyor damlalarında durma yağmur durma cilalanıyor ruhum i̇stanbul sağanağında damlalar karışmış elmacıklarıma durma yağmur durma okunmuyor adı artık yıldızlarda ayrılık yazıyor arkası yarınlarda sorma bana sen onu sorma sorma sorma doldur boğaziçini sen doldur ben içerim efkarımla kana kana durma durma doldur boğaziçini sen doldur ben içerim yalanlara kana kana durma canım cayır cayır yanıyor söndür yalvarırım durma nolur durma durma yağmur durma sorma sen onu sorma zaten ıslağım boğazın ortasında yaşlarım gizleniyor damlalarında durma yağmur durma cilalanıyor ruhum i̇stanbul sağanağında damlalar karışmış elmacıklarıma durma yağmur durma okunmuyor adı artık yıldızlarda ayrılık yazıyor arkası yarınlarda sorma bana sen onu sorma sorma sorma doldur boğaziçini sen doldur ben içerim efkarımla kana kana durma durma doldur boğaziçini sen doldur ben içerim yalanlara kana kana durma canım cayır cayır yanıyor söndür yalvarırım durma nolur durma durma yağmur durma sorma sen onu sorma sorma sorma doldur boğaziçini sen doldur ben içerim efkarımla kana kana durma durma doldur boğaziçini sen doldur ben içerim yalanlara kana kana durma canım cayır cayır yanıyor söndür yalvarırım durma nolur durma durma yağmur durma sorma sen onu sorma
