title,artist,lyrics,mood
Böyle Sever,Kahraman Deniz,"Tam da terk etmek üzereydim bu şehri Ait olmadığım sokaklara dönmek için Aniden sen geldin ve mahvettin beni Ben böyle güzel bir hata hiç görmemiştim Her şeye hile karışsa bile oyunu seversin İkimiz de hiç ölmeyecek gibi gülersin Duramazsan anlarım, ben gencim ama ihtiyarım Sende bu öyküyü noktalarım Yâr, bana düşmanım ol, gel! Düşür beni koynuna, boğuver! Bu garibin ömrü sensiz geçer mi? Gel bana, zindanım ol, gel! Kelepçeyi vur, zulüm ol, gel! İnsan insanı böyle sever mi? Yâr, bana düşmanım ol, gel! Düşür beni koynuna, boğuver! Bu garibin ömrü sensiz geçer mi? Gel bana, zindanım ol, gel! Kelepçeyi vur, zulüm ol, gel! İnsan insanı böyle sever mi?  Herkes kendini anlatır, sen hiçbir şey söylemedin Sesler rüzgara karıştı, sen topraktın, çiğnemedim Saçından güneş mi doğdu, gecem niye böyle gün gibi? Bakma bana öyle zâlim, ""Git de bir aynaya bak!"" der gibi Gözyaşı dökmeden ağlarım, kendim bile duymam, bağırırım Feryatlarıma yoldaş olmuş susmalarım Bulamazsan anlarım, ben görünürken kaybolanım Çok bilinirken, gayb olanım Yâr, bana düşmanım ol, gel! Düşür beni koynuna, boğuver! Bu garibin ömrü sensiz geçer mi? Gel bana, zindanım ol, gel! Kelepçeyi vur, zulüm ol, gel! İnsan insanı böyle sever mi? Yâr, bana düşmanım ol, gel! Düşür beni koynuna, boğuver! Bu garibin ömrü sensiz geçer mi? Gel bana, zindanım ol, gel! Kelepçeyi vur, zulüm ol, gel! İnsan insanı böyle sever mi? Yâr, bana düşmanım ol, gel! Düşür beni koynuna, boğuver! Bu garibin ömrü sensiz geçer mi? Gel bana, zindanım ol, gel! Kelepçeyi vur, zulüm ol, gel! İnsan insanı böyle sever mi?1",üzgün
Sevsene Beni,Yedinci Ev,"Kalbimde dolaşmadan ""benim"" diyemezsin bana Ruhuma karışmadan ""canım"" diyemezsin bana Tabii ki sen bana çok görüyorsun Benden çok biliyorsun, ya, nasıl sevilir, ay ay ay Rüyalarla yaşıyorum ben aşkını Ama bak sen seviliyorsun, bense bekliyorum Elinden geliyorsa azıcık sevsene beni İçinden geliyorsa tutup öpsene beni Kalbimde dolaşmadan ""benim"" diyemezsin bana Ruhuma karışmadan ""canım"" diyemezsin bana Tabii ki sen bana çok görüyorsun Benden çok biliyorsun, ya, nasıl sevilir, ay ay ay Rüyalarla yaşıyorum ben aşkını Ama bak sen seviliyorsun, bense bekliyorum  Elinden geliyorsa azıcık sevsene beni İçinden geliyorsa tutup öpsene beni Elinden geliyorsa azıcık sevsene beni İçinden geliyorsa tutup öpsene, tutup öpsene beni2",üzgün
Üzülmedin mi?,Simge,"Vuruldum Aynı yerden üst üste vuruldum Ama sustum Dağıttın hayatımı Beni ağır yanılttın Acım oldun Ve gördüm gerçeği İçindeki seni Buna rağmen tutuyordum o soğuk ellerini Gidiyordum kaç defa Ama tuttum kendimi Yapamazdım, acıtamazdım asla senin gibi Üzülmedin mi kalbimi çarpıp çıkarken? Küçülmedin mi aşkla verdiğin sözden cayarken? Nasıl bakıyorsun gözlerime veda ederken? Ben çok üzüldüm, sen üzülmedin mi? Üzülmedin mi kalbimi çarpıp çıkarken? Küçülmedin mi aşkla verdiğin sözden cayarken? Nasıl bakıyorsun gözlerime veda ederken? Ben çok üzüldüm, sen üzülmedin mi?  Vuruldum Aynı yerden üst üste vuruldum Ama sustum Dağıttın hayatımı Beni ağır yanılttın Acım oldun Ve gördüm gerçeği İçindeki seni Buna rağmen tutuyordum o soğuk ellerini Gidiyordum kaç defa Ama tuttum kendimi Yapamazdım, acıtamazdım asla senin gibi Üzülmedin mi kalbimi çarpıp çıkarken? Küçülmedin mi aşkla verdiğin sözden cayarken? Nasıl bakıyorsun gözlerime veda ederken? Ben çok üzüldüm, sen üzülmedin mi? Üzülmedin mi kalbimi çarpıp çıkarken? Küçülmedin mi aşkla verdiğin sözden cayarken? Nasıl bakıyorsun gözlerime veda ederken? Ben çok üzüldüm, sen üzülmedin mi? Üzülmedin mi kalbimi çarpıp çıkarken? Küçülmedin mi aşkla verdiğin sözden cayarken? Nasıl bakıyorsun gözlerime veda ederken? Ben çok üzüldüm, sen üzülmedin mi? ",üzgün
Aşk Kırıntıları,Teoman,"Al içine tekrar derinine sakla, kat kasırgana Yalan söyleme bak gözlerime bitmiş olamaz Yokla ceplerini aşk kırıntıları kalmış olmalı biraz Aşk kırıntısıyla doymaktansa Tek başıma aç kalırım bu hayatta Paylaşacak bir şey artık yoksa Bir erkekle Bir kadın arasında Yürürüm ipte, ağım yokken hem de Kopkoyu içim inan çok çalıştım Bu kalpsiz dünyayı sevebilmek için Neyim var ki sanki senden başka Hadi son bir kez Ceplerini yokla aşk kırıntıları kalmış olmalı biraz Aşk kırıntısıyla doymaktansa Tek başıma aç kalırım bu hayatta Paylaşacak bir şey artık yoksa Bir erkekle Bir kadın arasında Aşk kırıntısıyla doymaktansa Tek başıma aç kalırım bu hayatta Paylaşacak bir şey artık yoksa Bir erkekle Bir kadın arasında  ",üzgün
Vazgeç Gönül,Zeynep Dizdar,"Neyleyim doğan günü neyleyim sensiz günü Geceler çoğalırken aydınlık kar getirmez ki Sevda bahçesinde kurutulmuş bir gül idim Beni sakla bir ömür sev diye diye ölendim, oh-oh-oh Sevda bahçesinde kurutulmuş bir gül idim Beni sakla bir ömür sev diye diye ölendim Vazgeç gönül vazgeç sesini duyan yok Bir yağmurun içinde ateş böceği misali Bir bir yanıp bir söndün Vazgeç gönül vazgeç seni anlayan yok Bir yağmurun içinde ateş böceği misali Bir bir yanıp bir söndün Neyleyim doğan günü neyleyim sensiz günü Geceler çoğalırken aydınlık kar getirmez ki Sevda bahçesinde kurutulmuş bir gül idim Beni sakla bir ömür sev diye diye ölendim Vazgeç gönül vazgeç sesini duyan yok Bir yağmurun içinde ateş böceği misali Bir bir yanıp bir söndün Vazgeç gönül vazgeç seni anlayan yok Bir yağmurun içinde ateş böceği misali Bir bir yanıp bir söndün Vazgeç gönül vazgeç sesini duyan yok Bir yağmurun içinde ateş böceği misali Bir bir yanıp  ",üzgün
Aşk Durdukça,Yüksek Sadakat,Yeryüzünde aşk durdukça Gece erken inse bile korkma O hep seninle kaldıkça Biliyorsun gitmem gerek Yollar bitmez düşünerek İster sonuç de istersen sebep Bu düğümü çözmem gerek Belki sana yazarım Uğradığım bir şehirden Eski bir kart atarım Mekke ya da Kudüs�ten Sonra bir gün çıkarım Sen artık dönmez derken Bir şarkı fısıldarım Kulağına gün batarken Dünya döner tek bir yana (Aşk durdukça)Doğsun diye gün bir daha (Aşk durdukça)Ben de döndüm tekrar sana (Aşk durdukça)Sönmek için yana yana (Aşk durdukça)1,üzgün
Unut,"Pera, Toygar Işıklı",Gitmek sandığın kadar da kolay değil Bir son ver artık yeniden başlamam için Hatalar yapılır inan ki mühim değil Benden öncesi de vardı Sonrası da olur unut beni Senden öncesi hardı Sonrası yangın yakma beni Tutuşur da kalbin Uçuşur ya kuşlar gibi Sevdiği kadar sevilmez insan Ağlama unut dibine kadar Bir neden söyle sevmek için Sevsem de her şeyi bununla çözemedim Birazcık anla daha da kırmamam için Küskündüm kendime bile söyleyemedim Benden öncesi de vardı Sonrası da olur unut beni Senden öncesi hep hardı Sonrası yangın yakma beni Tutuşur da kalbin Uçuşur ya kuşlar gibi Kalbini ver ruhunu ömrünü Boşuna dökülen bu gözyaşın  Tutuşur da kalbin Uçuşur ya kuşlar gibi Sevdiği kadar sevilmez insan Ağlama unut dibine kadar ,üzgün
Halledebilirdik,Birileri,Karanlık gecemde güneş oldun Ben önümü bile göremezken Beni düştüğüm yerden doğrulttun Şimdiyse bitti diyorsun Gerçekten bırakıp gidiyor musun Sen ilk öptüğüm dokunduğum Hakkında durmadan hayaller kurduğum Ben aşk denen o ünlü kelimenin sözlük anlamını senin kollarında buldum Şimdiyse bitti diyorsun Öylece bırakıp gidiyor musun Dur çıkma hayatımdan hayır inanmam Bu kötü bir şaka Dur konuşsaydık iki dakika Sen  de biliyorsun halledebillir halledebilir halledebilir halledebilirdik Üstesinden gelebilirdik Bak iki damla gözyaşı daha Süzülüyor senin için yanaklarımdan Ah anlamıyorum nasıl bi şey bu Nasıl da hastalıklı bir duygu  Zaman bile gücünü yettiremez buna Hatırlarım hala bilirim daim olduğunu Dur çıkma hayatımdan hayır inanmam Bu kötü bir şaka Dur konuşsaydık iki dakika Sen de biliyosun halledebillir halledebilir halledebilir halledebilirdik Üstesinden gelebilirdik Dur çıkma hayatımdan Hayır inanmam bu kötü bir şaka Dur konuşsaydık iki dakika Sen de biliyosun halledebilir halledebilir halledebilir halledebilirdik halledebilirdik Üstesinden gelebilirdik ,üzgün
Ah Bu Ben,Mazhar Alanson,"Zor olsa da galiba dönüyorum sana""Gel"" dersen hemen Çağırmazsan geçerken Yerle gök arasında bir yerde Sen beni tanımazsın Severim de söylemem Sen beni uzak sanırsın Bilirim, söz dinlemem Ah bu ben kendimi, nerelere koşsam? Saklansam bir yerlerde, gizlice ağlasam Ah bu ben kendimi, nerelerde bulsam? Çekilsem sahillere, hayaller mi kursam? Zor olsa da galiba dönüyorum sana""Gel"" dersen hemen Çağırmazsan geçerken Yerle gök arasında bir yerde  Sen beni tanımazsın Severim de söylemem Sen beni uzak sanırsın Bilirim, söz dinlemem Ah bu ben kendimi, nerelere koşsam? Saklansam bir yerlerde, gizlice ağlasam Ah bu ben kendimi, nerelerde bulsam? Çekilsem sahillere, hayaller mi kursam? Nerelere koşsam? Gizlice ağlasam Nerelerde bulsam? Hayaller mi kursam? Ah bu ben kendimi, nerelere koşsam? Saklansam bir yerlerde, gizlice ağlasam Ah bu ben kendimi, nerelerde bulsam? Çekilsem sahillere, hayaller mi kursam?5",üzgün
HOŞÇAKAL KADAR,Büyük Ev Ablukada,"Bindiğimiz vapurlar, seferlerine devam ediyor On geçeler, on kalalar Sevmedin mi beni hoşçakal kadar Hangi eczanede kahvaltı Bir sabah seni unutturacak Manzaralı mezara döndük Senle ben fotoğraflara çıkıyorduk Herkesle tanışamam artık Günler gece gücüme gidiyor Ettiğimiz danslar sessiz kavgalar Nerede, nerede, onlar da kaybolamaz Yattığımız yataklar Yavrum battığımız bataklar Onlar da ikimizindi Hoşçakal kadar Aklımda görkemli bir anahtarlık Açılan hiçbir kapı yok Üstümde yorganlar ve uçuşan halılar Arkamda devrik bir krallık Geride kaldı rujların tadı günaydın Serap nerede uyandın Sen uykumuzu alıp götüreli beri Çöllerin ortasında güneşlere boyandım(x2) Yüzlere bakıyorum, dinlemiyorum hiç Bir gece ben yokmuşum da korkmuşun Eve dönünce boynuma sarılışın Güvendiğim tek şey sensin ve kapının kilidi Sevmedin mi beni Hoşçakal kadar(x2)3",üzgün
Porselen Kalbim,Sena Şener,"Benim porselen kalbim Karanlık bir çağa düşmüş Tek başına savaşırken Bir aşka esir olmuş Yüz bin parça, hepsi sevgisiz Benim porselen kalbim Herkese duvar örmüş Büyük bir kumar ortasında Gerçeğe göğüs germiş Yüz bin parça, hepsi çaresiz Benimle oyunlar oynadın Kırıldıktan sonra topladın, aynı olmadı Sen hatırlamazsın, ben unutmam Nasıl yandım? Yüreğim kandı sana, bir umut avunmaya Sen hatırlamazsın, ben unutmam Nasıl kıydın? Yüreğim kandı sana, bir umut avunmaya  Benim porselen kalbim Yalandan bir tenha olmuş Öfke dolup taşıyorken Bir aşka esir olmuş Yüz bin parça, hepsi sevgisiz Benim porselen kalbim Kendine de duvar örmüş Çürük bir köprü ortasında Ruhuna veda etmiş Yüz bin parça, hepsi çaresiz Benimle oyunlar oynadın Kırıldıktan sonra topladın, aynı olmadı Sen hatırlamazsın, ben unutmam Nasıl yandım? Yüreğim kandı sana, bir umut avunmaya Sen hatırlamazsın, ben unutmam Nasıl kıydın? Yüreğim kandı sana, bir umut avunmaya Porselen kalbim, ne yapsan alınır Porselen kalbim, kendine de kırılır1",üzgün
O Ben Olamam,Mavi Gri,Toparladım bütün kırgınlıklarımı Yeniden saydım beni üzdüğün zamanları Yokluğunda çok düşündüm gelirsen ne yaparım diye O bile beni bu kadar üzmeye yetmedi Ne olur tekrar yorma kendini Uğradığım ihanete gücüm yetmedi Yaranamadım Sevdiremedim kendimi Aklım ermedi Ne istedin de vermedim Artık olamam senle Bir kez daha olamam yetti Yanında da kalamam Aşığın olamaz tenim Başka bedenleri koklarsın yerime şimdi Çok arar bulursun ya Sana verdiğim bu değeri  Olamam senle Bir kez daha olamam yetti Yanında da kalamam Aşığın olamaz tenim Başka bedenler de bulursun yerime şimdi Çok zarar verdin bu kez Yok aşk bitti Oof... Toparladım bütün kırgınlıklarımı Yeniden saydım beni üzdüğün zamanları Yokluğunda çok düşündüm gelirsen ne yaparım diye O bile beni bu kadar üzmeye yetmedi Yokluğunda çok üşüdüm ama ısınırım yine Ateşin bile beni eritmeye yetmedi Yok hayır tekrar yorma kendini Uğradığım ihanete gücüm yetmedi Yaranamadım Sevdiremedim kendimi Aklım ermedi Ne istedin de vermedim Artık olamam senle Bir kez daha olamam yetti Yanında da kalamam Aşığın olamaz tenim Başka bedenleri koklarsın yerime şimdi Çok arar bulursun ya Sana verdiğim bu değeri Of olamam senle Bir kez daha olamam yetti Yanında da kalamam Aşığın olamaz tenim Başka bedenler de bulursun yerime şimdi Çok zarar verdin bu kez Yok aşk bitti Yarınlara varamam O ben olamam Yaranı saramam Aşk bitti ,üzgün
Geçme Artık Sokağımdan,Madrigal,"Umudu olmadıktan sonra ne fark eder? Dün gibi ilerlemez Sever gibi yapmasından daha çok ne üzer? Gün gelir ömür geçmez""Unut gitsin..."" dedi, ""...hem beni hem o günleri""Geçme artık sokağımdan Yokluğun rehin alır Alışmak istemişsem bile yüküm ağır Ne kışım yaza varır Ne renksiz duvarlarım yine sana boyanır Hiç razı olmamışlar gibi mesafeler Aklımda fikrimde sen Sanki terk etmişler beni düşünceler Kolay değil, bir görsen""Unut gitsin..."" dedi, ""...hem beni hem de geçmişi""Çıkma vakti hayatımdan  Yokluğun rehin alır Alışmak istemişsem bile yüküm ağır Ne kışım yaza varır Ne renksiz duvarlarım yine sana boyanır Yokluğun rehin alır Alışmak istemişsem bile yüküm ağır Ne kışım yaza varır Ne renksiz duvarlarım yine sana boyanır ",üzgün
Sen Olmayınca,Pinhani,"Beni bur'dan kurtar gidelim Yolumu kaybettim güzelim Sen olmayınca, sen olmayınca Beni bur'dan kurtar gidelim Yolumu kaybettim güzelim Sen olmayınca Kara gölgeler düşmüş yüzüme Kötü bir adam girmiş içime Sen olmayınca, sen olmayınca Yaramı sarsan iyi gelir Belki zamanla iyileşir Ama sabretmeyi öğrenmem gerek Korkularım yine döndü geri Yine karşımda eskisi gibi Çok da geç olmadan beni bulman gerek Anlatırım derdimi geceye Uyku diker yırtık kalbimi Sen olmayınca, sen olmayınca  Bana kızınca neler söyledin? Başka şeyler söyledi gözlerin Beni kandırma, geçiyor zaman Hâlâ beni seviyorsan Beni bur'dan kurtar gidelim Yolumu kaybettim güzelim Sen olmayınca, sen olmayınca ",üzgün
İntihaşk,Onur Can Özcan,Yarın olmaz bugün Yarım olmaz bütün Benim ol bu gece Yazı görse gözüm Kışı unutmaz özüm Bitmez bu gece Ötesi mi var? Yalnızlığı yalnız Seninle aldattım Kıskandı yıldızlar Aşka inanmayanlara Seni anlattım Karardı ay Bırakın beni kendim giderim Alıştım artık yalnızlığa Bildiğin gibi değilim Sildiğin gibiyim hala Seni sevmek intihar da Sevmemek ihtimal bile değil Aşk elbisesi en güzel Sende duruyor ama ne acı Terzin ben değilim  Bırakın beni kendim giderim Alıştım artık yalnızlığa Bildiğin gibi değilim Sildiğin gibiyim hala Seni sevmek intihar da Sevmemek ihtimal bile değil Aşk elbisesi en güzel Sende duruyor ama ne acı Terzin ben değilim Ötesi mi var? Yalnızlığı yalnız Seninle aldattım Kıskandı yıldızlar Aşka inanmayanlara Seni anlattım Karardı ay Bırakın beni kendim giderim Alıştım artık yalnızlığa Bildiğin gibi değilim Sildiğin gibiyim hala Seni sevmek intihar da Sevmemek ihtimal bile değil Aşk elbisesi en güzel Sende duruyor ama ne acı Terzin ben değilim Terzin ben değilim1,üzgün
Benimle Yan,Güntaç Özdemir,"Geri gelecek misin günahın neyse onu bilelim Sevebilecek misin nefret gibi beni Yoksa orda kal bebeğim Belki de sana göre değilim Sen girdin hayatıma çarparken Oralarda burdaki kalbimdi kanayan Vazgeçtim aklımdan eşimden dostumdan Alay eder oldum sancımla Hüzünlerini de al yanına Ne olacak yanacaksan Benimle yan Benimle yan Çok mu şaşırırsın cehenneme kar yağdırsam Benimle yan Benimle yan Hüzünlеrini de al yanına Ne olacak yanacaksan Benimlе yan Benimle yan Ölüm gelir acıtır seni yeniden doğduğun an Koyamadın ismini Çığlıklarını duyar gibiyim Kelebeğin etkisi belki de aşk belirtisi Bilir kişi bile eskidi Sen mi deli ben mi  Sen girdin hayatıma Çarparken oralarda burdaki kalbimdi kanayan Vazgeçtim aklımdan, eşimden, dostumdan Alay eder oldum sancımla Hüzünlerini de al yanına Ne olacak yanacaksan Benimle yan Benimle yan Çok mu şaşırırsın cehenneme kar yağdırsam Benimle yan Benimle yan Hüzünlerini de al yanına Ne olacak yanacaksan Benimle yan Benimle yan Ölüm gelir acıtır seni yeniden doğduğun an------------------------------------------------------------------------",üzgün
Bana Unutmayı Anlat,"Cem Adrian, Emir Can İğrek","Tüm yollar senin olsun Bana bir umut bırak, giderken Kalbim sende dursun Bana unutmayı anlat, severken Yollar senin olsun Bana bir umut bırak, giderken Kalbim sende dursun Bana unutmayı anlat, severken Görüyorum artık, çok geç Parlamıyor gözündeki kaybolan ışığın Görüyorum artık, çok zor Hisssediyorum içindeki eksilen yerleri Yalnızlık Uyanıp o derin O sinsi O hafif uykusundan Yaklaşıp Üstüme uzanıp Adım adım, adım adım  Tüm yollar senin olsun Bana bir umut bırak, giderken Kalbim sende dursun Bana unutmayı anlat, severken Yollar senin olsun Bana bir umut bırak, giderken Kalbim sende dursun Bana unutmayı anlat, severken Yollar senin olsun Bana bir umut bırak, giderken Kalbim sende dursun Bana unutmayı anlat, severken Yollar senin olsun Bana bir umut bırak, giderken Kalbim sende dursun Bana unutmayı anlat, severken Bana unutmayı anlat, severken Bana unutmayı anlat, severken Bana unutmayı anlat, severken ",üzgün
Bi' Tek Ben Anlarım,KÖFN,"Teninin üzerinden kayan bi' buzdur uzak bakışlarım Hiç izlememiş olsaydım bu filmi canımı acıtırdı Ama seni bilmek, seni bilmek Seni bilmek beynimde bi kurşun Seni bilmek, seni bilmek Seni bilmek en büyük ceza Her anın aklımda, her kıvrımın Sanmasınlar asla seni benden ayrı Savrulur savrulur saçlarında hayatın Seni sorsunlar benden, bi' tek ben anlarım Her anın aklımda, her kıvrımın Sanmasınlar asla seni benden ayrı Savrulur savrulur saçlarında hayatın Seni sorsunlar benden, bi' tek ben anlarım Teninin üzеrinden kayan bi' buzdur uzak bakışlarım Hiç izlememiş olsaydım bu filmi canımı acıtırdı  Ama sеni bilmek, seni bilmek Seni bilmek beynimde bi kurşun Seni bilmek, seni bilmek Seni bilmek en büyük ceza Her anın aklımda, her kıvrımın Sanmasınlar asla seni benden ayrı Savrulur savrulur saçlarında hayatın Seni sorsunlar benden, bi' tek ben anlarım Her anın aklımda, her kıvrımın Sanmasınlar asla seni benden ayrı Savrulur, savrulur saçlarında hayatın Seni sorsunlar benden, bi' tek ben anlarım1",üzgün
Biri Vardı,Pera,"Kaldırımlar ıslak Ve gözümde bir damla yaş Duruyorum sonra bir an Geçince zaman Yokluğunu anlıyorum Susuyorum tüm sözler tükenmiş gibi Anlamı yok ya da zaten geç kaldım Zaman ağırdı hani neden çabuk geçti Yalan kolay gelirdi sonu hüsran Sensiz günüm geçemez dediğin o an Yalan, yalan Biri vardı Sever gibi yapıp kandırdı Biri vardı Ateşi yüreğimde yangındı Biri vardı Kalbinde güzü bahar sandırdı Ona sorsan ben yokum Ama bende biri vardı Vazgeçiyorum bak kendimden İnandığım her şeyden Koparıp kalbimi ruhumu söküp giderken Zaman ağırdı hani neden çabuk geçti Yalan kolay gelirdi sonu hüsran Sensiz günüm geçemez dediğin o an Yalan, yalan  Biri vardı Sever gibi yapıp kandırdı Biri vardı Ateşi yüreğimde yangındı Biri vardı Kalbinde güzü bahar sandırdı Ona sorsan ben yokum Ama bende biri vardı ",üzgün
Döneceksin Diye Söz Ver,Yüksek Sadakat,"Oraya git ama yine gel Döneceksin diye söz ver Böylesi hepsinden güzel Git özlet kendini yine gel Döneceksin diye söz ver Dinle, uzaktan Çalan şarkı hicazdan Yaktık seninle biz Bir yangını yeni baştan Dinle uzaktan Küllerin arasından Madem her şey biter Yine başlar yeni baştan Bana n'olur ellerini ver Gideceksin ama yine gel Döneceksin diye söz ver  ",üzgün
Anlat Ona,Yedinci Ev,"""Ağla"" dedin bana, şu hâline iyice baka baka İnanmadın bana gözlerimin içine baka baka Denedim defalarca sana anlatmaya Susturdun beni de, küstürdün hayata Söyle nefesim, söyle, anlat o'na Dokunmadı ellerim asla başkasına Söyle nefesim, söyle, anlat o'na Açılmadı kalbim, yerin dolmuyor asla""Durma"" dedim sana, sar tenimi iyice yaka yaka İnanmadın bana gözlerimin içine baka baka Denedim defalarca sana anlatmaya Susturdun beni de, küstürdün hayata Söyle nefesim, söyle, anlat o'na Dokunmadı ellerim asla başkasına Söyle nefesim, söyle, anlat o'na Açılmadı kalbim, yerin dolmuyor asla  Söyle nefesim, söyle, anlat o'na Dokunmadı ellerim asla başkasına Söyle nefesim, söyle, anlat o'na Açılmadı kalbim, yerin dolmuyor asla ",üzgün
Sen Ve Ben,"Dolu Kadehi Ters Tut, Sedef Sebüktekin","Buralara ait miyiz bilmeli öğrenmeliyiz Sen ve ben, uzak bi’ yer… Buralardan gitmeliyiz kim ne derse desin Kokun hala üzerimde, en güzel düşlerimde Ruhumun en içinde, kalbimden bile derinde Belki de önemli değil büyüttüğümüz bu dertler Belli ki bizim değil büyüdüğümüz şehirler Tüm gözler ıska geçer sanki yokmuşuz gibi Kimse özlemez bizi Sen ve ben, uzak bi’ yer… Gitmeli ve görmeliyiz Buralara ait miyiz bilmeli öğrenmeliyiz Sen ve ben, uzak bi’ yer… Buralardan gitmeliyiz kim ne derse desin Kaygılar aldılar ruhumu götürdüler kim bilir nerelere Hayallerim, umutlarım topyekün gömüldüler kim bilir nerelere Belki de önemli değil büyüttüğümüz bu dertler Belli ki bizim değil büyüdüğümüz şehirler Tüm gözler ıska geçer sanki yokmuşuz gibi Kimse özlemez bizi Sen ve ben, uzak bi’ yer… Gitmeli ve görmeliyiz Buralara ait miyiz bilmeli öğrenmeliyiz Sen ve ben, uzak bi’ yer… Buralardan gitmeliyiz kim ne derse desin 1",üzgün
Aşkın En Güzel Hali,Batuhan Kordel,Bir daha böyle sever miyim bilemem aklımda adın Son defa seni sevdiğimi söylesem ağlar mısın Es kaza olur da karşılık verirsen başlar mıyız tekrardan? Yok istemiyor kalbim istemiyor fikrim Başkasıyla gülmek Yok zaten beceremem sensiz direnemem Çok zor böyle gitmek Yok istemiyor kalbim istemiyor fikrim Başkasıyla gülmek Yok zaten beceremem sensiz direnemem Çok zor böyle sevmek  ,üzgün
Uyu Bebeğim,Pera,Bazı sözler var nasıl yaralar Nasıl yaralar açar yüreğinde Bir başkası söyler de hiç aldırmazsın Ben bir söz edince kırılmış bir camsın Toplayamam seni sen de yaralarsın Bazı zamanlar anlaşılmazlar Nasıl ölür aşıklar nasıl yaşarlar Hangi zaferler asıl olanlar Gerçekler uçtu düştü yalanlar Çok yaşar mıyız biz de yaralıyız Uyu bebeğim uyu uyu bebeğim koynumda uyu Geceler varmasın sabaha Odamız gökyüzü yatağımız bulut olsun Uyu bebeğim uyu uyu bebeğim koynumda uyu Son gecemiz olsa da bu yarına Saçların ormanım gözlerin denizim olsun Bazı zamanlar anlaşılmazlar Nasıl ölür aşıklar nasıl yaşarlar Hangi zaferler asıl olanlar Gerçekler uçtu düştü yalanlar Çok yaşar mıyız biz de yaralıyız  Uyu bebeğim uyu uyu bebeğim koynumda uyu Geceler varmasın sabaha Odamız gökyüzü yatağımız bulut olsun Uyu bebeğim uyu uyu bebeğim koynumda uyu Son gecemiz olsa da bu yarına Saçların ormanım gözlerin denizim olsun Uyu bebeğim uyu uyu bebeğim koynumda uyu Geceler varmasın sabaha Odamız gökyüzü yatağımız bulut olsun Uyu bebeğim uyu uyu bebeğim koynumda uyu Son gecemiz olsa da bu yarına Saçların ormanım gözlerin denizim olsun Uyu bebeğim uyu uyu bebeğim koynumda uyu Son gecemiz olsa da bu yarına Saçların ormanım gözlerin denizim olsun ,üzgün
Beni Al,Pinhani,"Bugünüm yarın olsa, ya da hep yeni baştan Yaşamak ne güzel olur hiç başlamamışsan Geriye ne kalırdı, yaşananları atsan Seni bir daha yaşamak isterim aslında Beni al kucağına, elini belime sar Beni almadığın an üşürüm sabaha kadar Beni al kucağına, elimi beline sar Beni almadığın an ölürüm beni al Biraz önce uyurken, seni koynuma aldım Dudağından öperken uykudan uyandım Sana böyle uzakken, seni bir daha sevdim Yanına gelebilsem bir daha dönmezdim Beni al kucağına, elini belime sar Beni almadığın an üşürüm sabaha kadar Beni al kucağına, elimi beline sar Beni almadığın an ölürüm beni al  Beni al kucağına, üşürüm sabaha kadar Beni al kucağına, üşürüm sabaha kadar ",üzgün
İçinde Aşk Var,Sufle,"Canım, ders almadık mı? Acılarımızdan hep kaçmadık mı? Deliksiz uykularından uyanmadın mı? Yarın geçti çoktan Kuytularından henüz çıkmadın mı? Yüreksiz kavgalarından beni duymadın mı? Yanım Özlüyorsan, dönmüyorsan yazık, uu-uh Bilmiyorsan içim hâlâ yanık, hu-u-uh İçinde aşk var, yüzünde kin Yüreğine sor ""Bu da kim?""Her sabah baktığın aynadaki Bana deliriyor hâlâ İçinde aşk var, yüzünde kin Yüreğine sor ""Bu da kim?""Her sabah baktığın aynadaki Bana deliriyor hâlâ  Yarın geçti çoktan Kuytularından henüz çıkmadın mı? Yüreksiz kavgalarından beni duymadın mı? Yanım Özlüyorsan, dönmüyorsan yazık, uu-uh Bilmiyorsan içim hâlâ yanık, hu-u-uh İçinde aşk var, yüzünde kin Yüreğine sor ""Bu da kim?""Her sabah baktığın aynadaki Bana deliriyor hâlâ İçinde aşk var, yüzünde kin Yüreğine sor ""Bu da kim?""Her sabah baktığın aynadaki Bana deliriyor hâlâ İçinde aşk var, yüzünde kin Yüreğine sor ""Bu da kim?""Her sabah baktığın aynadaki Bana deliriyor, bana deli—",üzgün
Uykusuz ve Dengesiz,Yüzyüzeyken Konuşuruz,"Hep beni bil beni söyle dilinden düşmiyim Fırtınalarım olsa da bu ara güneşliyim Yollardayım, yorgunum, uykusuz ve dengesiz Ama boş ver bunları, sağlığın yerinde mi? İsmin bir şarkı ve ben hep seni söylerim Başkalarına baksa da seni arar gözlerim Yabancıyım, uyumsuz, sıkılgan ve eğreti Tüm bunlara rağmen hâlâ benimlesin Akıyormuş zaman, ben ittirmesem de Gülümsersem sana, gülecek misin sen de? Günler karışıyor, insan alışıyor Vapurlar yanaşıyor içinden sen inmesen de Şu son bir buçuk sene gerçek bir düşüştü Sana olan aşkım artık bir deliliğe dönüştü Kavgalar ve polisler, dost kazıkları ve hapisler Tüm bunlar olurken çocuk büyümüştü Akıyormuş zaman, ben ittirmesem de Gülümsersem sana, gülecek misin sen de? Günler karışıyor, insan alışıyor Vapurlar yanaşıyor içinden sen inmesen de  ",üzgün
